Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Uganda,Africa,167183,365.499,190,0.415,0,3621,7.916,1,0.002,0
Ghana,Africa,166816,536.853,0,0,0,1453,4.676,0,0,0
Namibia,Africa,166224,6541.921,0,0,0,4065,159.982,0,0,0
Jamaica,Americas,143610,4849.777,370,12.495,0,3148,106.309,8,0.27,0
Cambodia,Western Pacific,136359,815.595,63,0.377,16,3056,18.279,0,0,0
Rwanda,Africa,131668,1016.567,476,3.675,0,1461,11.28,2,0.015,0
Cameroon,Africa,120068,452.304,0,0,0,1931,7.274,0,0,0
Malta,Europe,108688,21122.348,3769,732.465,405,759,147.504,11,2.138,3
Angola,Africa,101320,308.28,0,0,0,1900,5.781,0,0,0
Democratic Republic of the Congo,Africa,91737,102.429,0,0,0,1376,1.536,0,0,0
French Guiana,Americas,88362,29583.972,0,0,0,401,134.257,0,0,0
Malawi,Africa,86576,452.568,0,0,0,2646,13.832,0,0,0
Senegal,Africa,86504,516.629,141,0.842,23,1968,11.754,0,0,0
Barbados,Americas,85488,29747.89,779,271.074,0,478,166.333,1,0.348,0
Côte d’Ivoire,Africa,84079,318.743,420,1.592,37,805,3.052,0,0,0
Suriname,Americas,80890,13788.883,26,4.432,0,1376,234.559,7,1.193,0
French Polynesia,Western Pacific,73688,26232.076,302,107.509,0,649,231.036,0,0,0
Eswatini,Africa,73215,6310.746,79,6.809,2,1417,122.138,1,0.086,0
Guyana,Americas,67843,8625.367,252,32.039,0,1258,159.939,3,0.381,0
Fiji,Western Pacific,66126,7376.47,418,46.629,0,866,96.604,0,0,0
Madagascar,Africa,65787,237.575,0,0,0,1401,5.059,0,0,0
New Caledonia,Western Pacific,65407,22909.793,1070,374.784,0,313,109.633,0,0,0
Belize,Americas,64787,16293.37,649,163.218,0,680,171.014,0,0,0
Sudan,Eastern Mediterranean,62745,143.092,41,0.094,0,4952,11.293,0,0,0
Cabo Verde,Africa,61517,11064.467,412,74.102,0,408,73.383,2,0.36,0
Mauritania,Africa,60685,1305.15,433,9.313,0,984,21.163,0,0,0
Bhutan,South-East Asia,59940,7768.193,116,15.034,16,21,2.722,0,0,0
Syrian Arab Republic,Eastern Mediterranean,55940,319.645,8,0.046,0,3150,17.999,0,0,0
Jersey,Europe,55473,51461.093,975,904.486,0,131,121.526,0,0,0
Gabon,Africa,48157,2163.646,218,9.795,0,305,13.703,0,0,0
Seychelles,Africa,45000,45756.353,68,69.143,0,167,169.807,0,0,0
Papua New Guinea,Western Pacific,44751,500.177,23,0.257,0,662,7.399,0,0,0
Andorra,Europe,44671,57815.311,494,639.358,0,153,198.02,0,0,0
Curaçao,Americas,44662,27217.493,117,71.301,0,278,169.416,0,0,0
Guam,Western Pacific,44332,26266.923,603,357.28,0,371,219.819,0,0,0
Burundi,Africa,42963,361.313,127,1.068,0,15,0.126,0,0,0
Aruba,Americas,41000,38401.738,282,264.129,0,222,207.931,1,0.937,0
Mayotte,Africa,38139,13979.803,181,66.345,0,187,68.545,0,0,0
Togo,Africa,37624,454.466,142,1.715,16,275,3.322,0,0,0
Guinea,Africa,37123,282.674,0,0,0,443,3.373,0,0,0
Isle of Man,Europe,36998,43510.678,535,629.175,0,110,129.363,2,2.352,0
United Republic of Tanzania,Africa,36174,60.558,0,0,0,841,1.408,0,0,0
Bahamas,Americas,36159,9195.054,77,19.581,0,822,209.031,4,1.017,0
Faroe Islands,Europe,34658,70926.021,0,0,0,28,57.301,0,0,0
Lesotho,Africa,34040,1588.984,0,0,0,702,32.769,0,0,0
Haiti,Americas,31703,278.035,0,0,0,837,7.34,0,0,0
Mali,Africa,31187,154.004,16,0.079,1,737,3.639,0,0,0
Guernsey,Europe,28098,43584.414,997,1546.504,0,49,76.007,1,1.551,0
Cayman Islands,Americas,27594,41987.219,0,0,0,29,44.127,0,0,0
Benin,Africa,27216,224.495,0,0,0,163,1.345,0,0,0
Saint Lucia,Americas,27204,14814.815,110,59.904,0,385,209.664,2,1.089,0
Somalia,Eastern Mediterranean,26803,168.644,0,0,0,1361,8.563,0,0,0
Congo,Africa,24421,442.563,0,0,0,386,6.995,0,0,0
Timor-Leste,South-East Asia,22972,1742.356,13,0.986,1,133,10.088,0,0,0
Solomon Islands,Western Pacific,21544,3136.483,0,0,0,153,22.275,0,0,0
United States Virgin Islands,Americas,21045,20153.22,85,81.398,0,118,113,0,0,0
Burkina Faso,Africa,21044,100.673,0,0,0,387,1.851,0,0,0
Gibraltar,Europe,19633,58273.723,327,970.586,0,104,308.688,0,0,0
San Marino,Europe,18711,55132.889,469,1381.932,0,116,341.8,1,2.947,0
Grenada,Americas,18475,16418.865,99,87.982,0,232,206.18,0,0,0
Liechtenstein,Europe,18014,46491.341,38,98.072,0,84,216.791,0,0,0
Tajikistan,Europe,17786,186.482,0,0,0,125,1.311,0,0,0
South Sudan,Africa,17733,158.419,0,0,0,138,1.233,0,0,0
Bermuda,Americas,16401,26337.257,239,383.794,0,140,224.817,0,0,0
Equatorial Guinea,Africa,16383,1167.725,269,19.173,0,183,13.044,0,0,0
Djibouti,Eastern Mediterranean,15690,1588.057,0,0,0,189,19.13,0,0,0
Samoa,Western Pacific,15052,7586.158,56,28.224,0,29,14.616,0,0,0
Dominica,Americas,14852,20630.357,0,0,0,68,94.456,0,0,0
Nicaragua,Americas,14721,222.219,31,0.468,0,243,3.668,1,0.015,0
Central African Republic,Africa,14675,303.845,0,0,0,113,2.34,0,0,0
Monaco,Europe,13480,34349.2,341,868.923,0,59,150.341,0,0,0
Tonga,Western Pacific,12382,11714.84,81,76.636,0,12,11.353,0,0,0
Gambia,Africa,12009,496.924,0,0,0,365,15.103,0,0,0
Greenland,Europe,11971,21086.099,0,0,0,21,36.99,0,0,0
Yemen,Eastern Mediterranean,11832,39.67,8,0.027,0,2149,7.205,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,11759,20430.182,0,0,0,35,60.809,0,0,0
Vanuatu,Western Pacific,11624,3784.532,228,74.232,36,14,4.558,0,0,0
Saint Martin,Americas,11061,28611.707,0,0,0,46,118.989,0,0,0
Sint Maarten,Americas,10601,24721.328,21,48.972,0,87,202.882,1,2.332,0
Eritrea,Africa,9824,277.012,23,0.649,0,103,2.904,0,0,0
Niger,Africa,9096,37.576,6,0.025,0,311,1.285,0,0,0
Saint Vincent and the Grenadines,Americas,9083,8187.308,15,13.521,0,114,102.758,0,0,0
Bonaire,Americas,8810,42122.878,0,0,0,30,143.438,0,0,0
Antigua and Barbuda,Americas,8681,8864.586,16,16.338,0,142,145.003,1,1.021,0
Guinea-Bissau,Africa,8400,426.829,9,0.457,0,171,8.689,0,0,0
Comoros,Africa,8161,938.476,0,0,0,160,18.399,0,0,0
Sierra Leone,Africa,7718,96.753,14,0.176,0,125,1.567,0,0,0
Liberia,Africa,7502,148.329,0,0,0,294,5.813,0,0,0
Chad,Africa,7426,45.209,1,0.006,0,193,1.175,0,0,0
British Virgin Islands,Americas,6941,22955.32,0,0,0,63,208.354,0,0,0
American Samoa,Western Pacific,6505,11785.061,0,0,0,31,56.162,0,0,0
Saint Kitts and Nevis,Americas,6254,11757.407,97,182.358,0,43,80.839,0,0,0
Nauru,Western Pacific,6237,57568.765,1376,12700.757,112,1,9.23,0,0,0
Turks and Caicos Islands,Americas,6234,16101.038,15,38.742,0,36,92.98,0,0,0
Sao Tome and Principe,Africa,6064,2766.941,0,0,0,74,33.765,0,0,0
Cook Islands,Western Pacific,5794,32987.93,20,113.869,0,1,5.693,0,0,0
Palau,Western Pacific,5269,29123.369,32,176.874,0,6,33.164,0,0,0
Saint Barthélemy,Americas,4740,47951.442,0,0,0,5,50.582,0,0,0
Anguilla,Americas,3476,23170.244,20,133.316,0,9,59.992,0,0,0
Kiribati,Western Pacific,3236,2709.106,0,0,0,13,10.883,0,0,0
Saint Pierre and Miquelon,Americas,2857,49301.122,78,1345.988,0,1,17.256,0,0,0
Falkland Islands (Malvinas),Americas,1831,52569.624,16,459.374,0,0,0,0,0,0
Montserrat,Americas,1022,20444.089,2,40.008,0,8,160.032,0,0,0
Sint Eustatius,Americas,991,31570.564,18,573.431,0,5,159.286,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Saba,Americas,631,32643.559,9,465.598,0,2,103.466,0,0,0
Wallis and Futuna,Western Pacific,456,4054.775,2,17.784,0,7,62.244,0,0,0
Marshall Islands,Western Pacific,47,79.4,21,35.477,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,38,33.037,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Niue,Western Pacific,24,1483.313,4,247.219,0,0,0,0,0,0
Tuvalu,Western Pacific,3,25.441,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
